timestamp,run,b_eff_used,angle_reported_deg,angle_measured_deg,b_eff_new,error_pct
2026-06-01T06:45:49,1,0.20000,360.49,335.00,0.21522,7.07
2026-06-01T06:50:44,2,0.21522,361.69,320.00,0.24326,11.53
2026-06-01T06:54:27,3,0.24326,362.13,358.00,0.24607,1.14
